55    322    Inf
753    754    431    Inf
753    754    432    Inf
753    754    433    Inf
753    755    431    Inf
753    755    432    Inf
753    755    433    Inf
754    754    431    Inf
754    754    432    Inf
754    754    433    Inf
754    755    431    Inf
754    755    432    Inf
754    755    433    Inf
755    755    431    Inf
755    755    432    Inf
755    755    433    Inf
751    761    411    Inf
751    762    411    Inf
751    763    411    Inf
751    764    411    Inf
751    765    411    Inf
751    766    411    Inf
752    761    411    Inf
752    762    411    Inf
752    763    411    Inf
752    764    411    Inf
752    765    411    Inf
752    766    411    Inf
753    761    411    Inf
753    762    411    Inf
753    763    411    Inf
753    764    411    Inf
753    765    411    Inf
753    766    411    Inf
754    761    411    Inf
754    762    411    Inf
754    763    411    Inf
754    764    411    Inf
754    765    411    Inf
754    766    411    Inf
755    761    411    Inf
755    762    411    Inf
755    763    411    Inf
755    764    411    Inf
755    765    411    Inf
755    766    411    Inf
751    761    421    Inf
751    761    422    Inf
751    762    421    Inf
751    762    422    Inf
751    763    421    Inf
751    763    422    Inf
751    764    421    Inf
751    764    422    Inf
751    765    421    Inf
751    765    422    Inf
751    766    421    Inf
751    766    422    Inf
752    761    421    Inf
752    761    422    Inf
752    762    421    Inf
752    762    422    Inf
752    763    421    Inf
752    763    422    Inf
752    764    421    Inf
752    764    422    Inf
752    765    421    Inf
752    765    422    Inf
752    766    421    Inf
752    766    422    Inf
753    761    421    Inf
753    761    422    Inf
753    762    421    Inf
753    762    422    Inf
753    763    421    Inf
753    763    422    Inf
753    764    421    Inf
753    764    422    Inf
753    765    421    Inf
753    765    422    Inf
753    766    421    Inf
753    766    422    Inf
754    761    421    Inf
754    761    422    Inf
754    762    421    Inf
754    762    422    Inf
754    763    421    Inf
754    763    422    Inf
754    764    421    Inf
754    764    422    Inf
754    765    421    Inf
754    765    422    Inf
754    766    421    Inf
754    766    422    Inf
755    761    421    Inf
755    761    422    Inf
755    762    421    Inf
755    762    422    Inf
755    763    421    Inf
755    763    422    Inf
755    764    421    Inf
755    764    422    Inf
755    765    421    Inf
755    765    422    Inf
755    766    421    Inf
755    766    422    Inf
751    761    431    Inf
751    761    432    Inf
751    761    433    Inf
751    762    431    Inf
751    762    432    Inf
751    762    433    Inf
751    763    431    Inf
751    763    432    Inf
751    763    433    Inf
751    764    431    Inf
751    764    432    Inf
751    764    433    Inf
751    765    431    Inf
751    765    432    Inf
751    765    433    Inf
751    766    431    Inf
751    766    432    Inf
751    766    433    Inf
752    761    431    Inf
752    761    432    Inf
752    761    433    Inf
752    762    431    Inf
752    762    432    Inf
752    762    433    Inf
752    763    431    Inf
752    763    432    Inf
752    763    433    Inf
752    764    431    Inf
752    764    432    Inf
752    764    433    Inf
752    765    431    Inf
752    765    432    Inf
752    765    433    Inf
752    766    431    Inf
752    766    432    Inf
752    766    433    Inf
753    761    431    Inf
753    761    432    Inf
753    761    433    Inf
753    762    431    Inf
753    762    432    Inf
753    762    433    Inf
753    763    431    Inf
753    763    432    Inf
753    763    433    Inf
753    764    431    Inf
753    764    432    Inf
753    764    433    Inf
753    765    431    Inf
753    765    432    Inf
753    765    433    Inf
753    766    431    Inf
753    766    432    Inf
